Марка;Ссылка;Цена 1;Цена 2;Город
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1838562.html;42 617 $;1 211 900 грн;Харьков
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1826475.html;23 733 $;674 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1840808.html;38 151 $;1 084 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1838565.html;45 149 $;1 283 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1848713.html;41 844 $;1 189 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1836855.html;45 149 $;1 283 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1836857.html;48 420 $;1 376 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1849499.html;38 925 $;1 106 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1814354.html;41 844 $;1 189 900 грн;Ровно
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1836854.html;45 149 $;1 283 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1839795.html;45 149 $;1 283 900 грн;Ровно
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1814402.html;24 613 $;699 900 грн;Ровно
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1815918.html;41 844 $;1 189 900 грн;Харьков
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1846571.html;24 613 $;699 900 грн;Харьков
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1848556.html;23 733 $;674 900 грн;Ровно
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1826396.html;24 613 $;699 900 грн;Днепр (Днепропетровск)
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1809438.html;24 613 $;699 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1838155.html;42 000 $;1 194 341 грн;Днепр (Днепропетровск)
Honda Jazz 2020;https://auto.ria.com/newauto/auto-honda-jazz-1844473.html;30 520 $;867 900 грн;Днепр (Днепропетровск)
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1850424.html;33 299 $;946 900 грн;Днепр (Днепропетровск)
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1825476.html;23 733 $;674 900 грн;Днепр (Днепропетровск)
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1840812.html;23 487 $;667 900 грн;Днепр (Днепропетровск)
Honda HR-V 2019;https://auto.ria.com/newauto/auto-honda-hr-v-1840810.html;27 672 $;786 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1840818.html;41 773 $;1 187 900 грн;Днепр (Днепропетровск)
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1800670.html;27 953 $;794 900 грн;Харьков
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1839232.html;23 733 $;674 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1849275.html;41 844 $;1 189 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1808337.html;38 925 $;1 106 900 грн;Харьков
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1800669.html;24 613 $;699 900 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1808338.html;41 844 $;1 189 900 грн;Харьков
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1808334.html;27 953 $;794 900 грн;Харьков
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1849474.html;33 299 $;946 900 грн;Харьков
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1826470.html;23 733 $;674 900 грн;Харьков
Honda Jazz 2020;https://auto.ria.com/newauto/auto-honda-jazz-1845667.html;27 324 $;777 000 грн;Харьков
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1839805.html;41 844 $;1 189 900 грн;Харьков
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1815921.html;24 613 $;699 900 грн;Харьков
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1844465.html;19 974 $;568 000 грн;Днепр (Днепропетровск)
Honda CB 2019;https://auto.ria.com/newauto/auto-honda-cb-1840817.html;8 300 $;236 025 грн;Днепр (Днепропетровск)
Honda CRF 2019;https://auto.ria.com/newauto/auto-honda-crf-1840816.html;7 300 $;207 588 грн;Днепр (Днепропетровск)
Honda CB 2020;https://auto.ria.com/newauto/auto-honda-cb-1840814.html;11 000 $;312 804 грн;Днепр (Днепропетровск)
Honda Gold Wing 2020;https://auto.ria.com/newauto/auto-honda-gold-wing-1841336.html;39 073 $;1 111 100 грн;Днепр (Днепропетровск)
Honda CMX 2020;https://auto.ria.com/newauto/auto-honda-cmx-1840815.html;7 900 $;224 650 грн;Днепр (Днепропетровск)
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1835355.html;33 299 $;946 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1836813.html;45 149 $;1 283 900 грн;Ровно
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1825475.html;41 844 $;1 189 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1825466.html;42 617 $;1 211 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1825472.html;38 925 $;1 106 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1825467.html;45 149 $;1 283 900 грн;Днепр (Днепропетровск)
Honda HR-V 2019;https://auto.ria.com/newauto/auto-honda-hr-v-1825462.html;25 668 $;729 900 грн;Днепр (Днепропетровск)
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1830532.html;27 953 $;794 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1835356.html;48 420 $;1 376 900 грн;Днепр (Днепропетровск)
Honda HR-V 2020;https://auto.ria.com/newauto/auto-honda-hr-v-1830531.html;24 613 $;699 900 грн;Днепр (Днепропетровск)
Honda Jazz 2020;https://auto.ria.com/newauto/auto-honda-jazz-1841504.html;30 520 $;867 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1823816.html;38 925 $;1 106 900 грн;Днепр (Днепропетровск)
Honda Civic 2020;https://auto.ria.com/newauto/auto-honda-civic-1846573.html;23 733 $;674 900 грн;Днепр (Днепропетровск)
Honda CR-V 2020;https://auto.ria.com/newauto/auto-honda-cr-v-1836856.html;42 617 $;1 211 900 грн;Харьков
Honda Clarity 2020;https://auto.ria.com/newauto/auto-honda-clarity-1817959.html;45 300 $;1 288 183 грн;Киев
Honda Gold Wing 2020;https://auto.ria.com/newauto/auto-honda-gold-wing-1840746.html;39 931 $;1 135 500 грн;Одесса
Honda XR 2020;https://auto.ria.com/newauto/auto-honda-xr-1850653.html;2 462 $;70 000 грн;Одесса
Honda CB 2020;https://auto.ria.com/newauto/auto-honda-cb-1776594.html;10 198 $;290 000 грн;Одесса
Honda XR 2020;https://auto.ria.com/newauto/auto-honda-xr-1774833.html;2 462 $;70 000 грн;Одесса
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1844362.html;16 598 $;472 000 грн;Одесса
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1840126.html;6 752 $;192 000 грн;Одесса
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1839850.html;19 623 $;558 000 грн;Одесса
Honda XR 2020;https://auto.ria.com/newauto/auto-honda-xr-1850651.html;2 462 $;70 000 грн;Одесса
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1774837.html;6 500 $;184 839 грн;Одесса
Honda CMX 2020;https://auto.ria.com/newauto/auto-honda-cmx-1840122.html;7 900 $;224 650 грн;Одесса
Honda CRF 2019;https://auto.ria.com/newauto/auto-honda-crf-1761059.html;6 646 $;189 000 грн;Одесса
Honda CB 2020;https://auto.ria.com/newauto/auto-honda-cb-1839849.html;5 908 $;168 000 грн;Одесса
Honda CB 2020;https://auto.ria.com/newauto/auto-honda-cb-1727294.html;7 666 $;218 000 грн;Харьков
Honda XR 2020;https://auto.ria.com/newauto/auto-honda-xr-1772695.html;2 462 $;70 000 грн;Харьков
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1839936.html;17 513 $;498 000 грн;Харьков
Honda CRF 2020;https://auto.ria.com/newauto/auto-honda-crf-1840991.html;18 075 $;514 000 грн;Харьков
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690879.html;3 556 $;101 121 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690862.html;7 000 $;199 057 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690851.html;3 760 $;106 922 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690881.html;1 887 $;53 660 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690880.html;3 360 $;95 547 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690882.html;1 732 $;49 252 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690883.html;1 662 $;47 262 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690857.html;7 600 $;216 119 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690852.html;6 000 $;170 620 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690849.html;11 083 $;315 164 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690878.html;3 094 $;87 983 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690850.html;3 920 $;111 472 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690868.html;9 213 $;261 987 грн;Днепр (Днепропетровск)
Honda BF 2018;https://auto.ria.com/newauto/auto-honda-bf-1690848.html;1 083 $;30 797 грн;Днепр (Днепропетровск)
